dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
global_mmlu_ukrainian	-0.011	43.602	-0.19	0.266	1.257	0.305	0.437	28.947
include_ukrainian	10.636	14.431	-0.056	0.114	1.986	0.818	1.682	34.21
textdetox_ukr	0.14	1044.429	0.04	0.366	0.06	0.02	0.03	10.526
ua_squad	22.335	8.076	0.667	0.28	17.39	0.66	1.16	31.579
ukrbelebele	3.444	15.13	0.064	0.119	2.763	0.639	1.125	21.053
wmt24pp_en-uk	10.371	1.911	0.904	0.495	55.019	0.694	1.426	13.157
zno	24.474	3.803	0.837	0.224	5.909	1.765	2.63	0.0
